country,Igbo,Turkish,Farsi,French,Nepali,Urdu,Arabic
Afghanistan,Ọba Afghanisịtan,Afganistan,افغانستان,Afghanistan,अफगानिस्तान,افغانستان,أفغانستان
Albania,Albania,Arnavutluk,آلبانی,Albanie,अल्बानिया,البانیا,ألبانيا
Algeria,Algeria,Cezayir,الجزایر,Algérie,अल्जिरिया,الجزائر,الجزائر
Andorra,Andọra,Andorra,آندورا,Andorre,अन्डोरा,اندورا,أندورا
Angola,Angola,Angola,آنگولا,Angola,अंगोला,انگولا,أنغولا
Antigua and Barbuda,Antigua na Barbuda,Antigua ve Barbuda,آنتیگوا و باربودا,Antigua-et-Barbuda,एण्टिगुआ र बारबुडा,أنتيغوا اور باربودا,أنتيغوا وباربودا
Argentina,Argentina,Arjantin,آرژانتین,Argentine,अर्जेन्टिना,ارجنٹینا,الأرجنتين
Armenia,Armenia,Ermenistan,ارمنستان,Arménie,आर्मेनिया,آرمینیا,أرمينيا
Australia,Ọstrelịa,Avustralya,استرالیا,Australie,अष्ट्रेलिया,آسٹریلیا,أستراليا
Austria,Ọstịria,Avusturya,اتریش,Autriche,अष्ट्रिया,آسٹریا,النمسا
Azerbaijan,Azerbaijan,Azerbaycan,آذربایجان,Azerbaïdjan,अजरबैजान,آذربائیجان,أذربيجان
Bahrain,Bahrain,Bahreyn,بحرین,Bahreïn,बहरीन,بحرین,البحرين
Bangladesh,Bangladesh,Bangladeş,بنگلادش,Bangladesh,बांग्लादेश,رہنمائی,بنغلاديش
Barbados,Barbados,Barbados,باربادوس,Barbade,बार्बाडोस,برمودا,باربادوس
Belarus,Belarusia,Belarus,بلاروس,Biélorussie,बेलारूस,بیلاروس,بيلاروس
Belgium,Belgium,Belçika,بلژیک,Belgique,बेल्जियम,بلجیم,بلجيكا
Belize,Belise,Belize,بلیز,Belize,बेलाइज,بیلے,بليز
Benin,Benin,Benin,بنین,Bénin,बेनीन,بینین,بنين
Bhutan,Bhutan,Butan,بوتان,Bhoutan,भूटान,بوتان,بوتان
Bolivia,Bọlivia,Bolivya,بولیوی,Bolivie,बलिभिया,بولیویا,بوليفيا
Bosnia and Herzegovina,Bosnia na Herzegovina,Bosna-Hersek,بوسنی و هرزگوین,Bosnie-Herzégovine,बोस्निया र हर्जेगोभिना,خاوند اور ہرجیہ,البوسنة والهرسك
Botswana,Botswana,Botsvana,بوتسوانا,Botswana,बोत्सवाना,بوتسونا,بوتسوانا
